ID,ホスト名,IPアドレス
845,patpc701.ccmaster,133.101.64.80
846,patpc702.ccmaster,133.101.64.81
847,patpc703.ccmaster,133.101.64.82
871,infopc31.ccmaster,133.101.64.161
872,infopc32.ccmaster,133.101.64.162
873,infopc33.ccmaster,133.101.64.163
874,infopc34.ccmaster,133.101.64.164
875,infopc35.ccmaster,133.101.64.165
876,infopc36.ccmaster,133.101.64.166
877,infopc37.ccmaster,133.101.64.167
878,infopc38.ccmaster,133.101.64.168
879,infopc39.ccmaster,133.101.64.169
880,infopc40.ccmaster,133.101.64.170
881,infopc41.ccmaster,133.101.64.171
882,infopc42.ccmaster,133.101.64.172
896,micspc21.ccmaster,133.101.64.181
897,micspc22.ccmaster,133.101.64.182
898,micspc23.ccmaster,133.101.64.183
899,micspc24.ccmaster,133.101.64.184
900,micspc00.ccmaster,133.101.64.245
901,micspc01.ccmaster,133.101.64.249
909,ccgpmc01,133.101.64.242
910,ccgpmc02,133.101.64.243
916,icrent01.ccmaster,133.101.69.1
917,icrent02.ccmaster,133.101.69.2
918,icrent03.ccmaster,133.101.69.3
919,icrent04.ccmaster,133.101.69.4
920,icrent05.ccmaster,133.101.69.5
921,icrent06.ccmaster,133.101.69.6
922,icrent07.ccmaster,133.101.69.7
923,icrent08.ccmaster,133.101.69.8
924,icrent09.ccmaster,133.101.69.9
925,icrent10.ccmaster,133.101.69.10
926,icrent11.ccmaster,133.101.69.11
927,icrent12.ccmaster,133.101.69.12
928,icrent13.ccmaster,133.101.69.13
929,icopen01.ccmaster,133.101.69.14
930,icopen02.ccmaster,133.101.69.15
931,icopen03.ccmaster,133.101.69.16
932,icopen04.ccmaster,133.101.69.17
933,icopen05.ccmaster,133.101.69.18
934,icopen06.ccmaster,133.101.69.19
935,icopen07.ccmaster,133.101.69.20
936,icopen08.ccmaster,133.101.69.21
937,icopen09.ccmaster,133.101.69.22
938,icopen10.ccmaster,133.101.69.23
939,icopen11.ccmaster,133.101.69.24
940,icopen12.ccmaster,133.101.69.25
941,wrpc0026.ccmaster,133.101.69.26
942,wrpc0027.ccmaster,133.101.69.27
943,wrpc0028.ccmaster,133.101.69.28
