ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
967,54015643E,12,4,情報センター,872,40:c2:ba:46:f7:26,a0:d3:65:44:8c:9d,渡邉さん,1,13,8,3,0,,2024-00733(040),,9
969,54015186E,12,4,情報センター,874,40:c2:ba:46:d4:22,a0:d3:65:22:0e:5c,石堂さん，マウスあり,1,13,8,3,0,,2024-00733(042),,9
970,54015197E,12,4,情報センター,882,40:c2:ba:b8:ac:3a,a0:d3:65:22:0d:f3,,1,13,8,3,0,,2024-00733(043),,9
993,54015212E,12,4,情報センター,871,40:c2:ba:47:08:d1,a0:d3:65:22:0d:d5,野村さん,1,13,8,3,0,,2024-00733(039),,9
1227,R0102279,12,4,MiCSカウンター,916,68:84:7e:94:84:d7,08:71:90:ed:e6:f8,,1,5,24,2,1,,,2,2
1228,R0102356,12,4,MiCSカウンター,917,68:84:7e:94:89:3c,0c:dd:24:f9:c8:b5,,1,5,24,2,1,,,2,2
1229,R0102317,12,4,MiCSカウンター,918,68:84:7e:94:86:e8,0c:dd:24:f9:d2:c4,,1,5,24,2,1,,,2,2
1230,R0102283,12,4,MiCSカウンター,919,68:84:7e:94:85:10,08:71:90:ee:7a:19,,1,5,24,2,1,,,2,2
1231,R0102321,12,4,MiCSカウンター,920,68:84:7e:94:87:24,0c:dd:24:f9:d2:97,,1,5,24,2,1,,,2,2
1232,R0102282,12,4,MiCSカウンター,921,68:84:7e:94:85:01,08:71:90:ed:ef:18,,1,5,24,2,1,,,2,2
1233,R0102270,12,4,MiCSカウンター,922,68:84:7e:94:84:63,08:71:90:ee:79:65,,1,5,24,2,1,,,2,2
1234,R0102386,12,4,MiCSカウンター,923,68:84:7e:94:89:eb,0c:7a:15:a6:0b:ee,,1,5,24,2,1,,,2,2
1235,R0102344,12,4,MiCSカウンター,924,68:84:7e:94:88:70,0c:dd:24:f9:ca:8b,,1,5,24,2,1,,,2,2
1236,R0102385,12,4,MiCSカウンター,925,68:84:7e:94:89:dc,0c:dd:24:f9:c9:0a,,1,5,24,2,1,,,2,2
1237,R0102292,12,4,開発作業室,926,68:84:7e:94:85:99,08:71:90:ee:79:f1,,1,5,26,2,1,,,2,2
1238,R0102329,12,4,開発作業室,927,68:84:7e:94:87:9c,0c:dd:24:f9:c5:31,,1,5,26,2,1,,,2,2
1239,R0102300,12,4,開発作業室,928,68:84:7e:94:86:08,08:71:90:ed:ed:1f,,1,5,26,2,1,,,2,2
1240,R0102351,12,4,10301教室,929,68:84:7e:94:89:0c,0c:dd:24:f9:81:70,,1,5,25,2,1,,,2,2
1241,R0102328,12,4,10301教室,930,68:84:7e:94:87:8e,0c:dd:24:f9:c5:59,,1,5,25,2,1,,,2,2
